날짜,순위,영화명,개봉일,일일관객수,누적관객수,일일매출액
20250101,1,하얼빈,2024-12-24,340484,3095720,3290065760
20250101,2,보고타: 마지막 기회의 땅,2024-12-31,93154,194095,880276910
20250101,3,소방관,2024-12-04,80830,3398126,769063260
20250101,4,수퍼 소닉3,2025-01-01,75916,97373,705207940
20250101,5,뽀로로 극장판 바닷속 대모험,2025-01-01,58882,92837,512345060
20250101,6,무파사: 라이온 킹,2024-12-18,41753,698398,394659080
20250101,7,모아나 2,2024-11-27,35255,3408070,337172520
20250101,8,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,28292,596017,266817380
20250101,9,위키드,2024-11-20,20527,2079690,206796180
20250101,10,시빌 워: 분열의 시대,2024-12-31,17822,40589,192154650
20250102,1,하얼빈,2024-12-24,92862,3188582,850528040
20250102,2,보고타: 마지막 기회의 땅,2024-12-31,25303,219398,222931920
20250102,3,소방관,2024-12-04,24580,3422706,224353000
20250102,4,뽀로로 극장판 바닷속 대모험,2025-01-01,17857,110694,146678420
20250102,5,수퍼 소닉3,2025-01-01,11618,108991,104062890
20250102,6,무파사: 라이온 킹,2024-12-18,8664,707062,75023640
20250102,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,8463,604480,78629440
20250102,8,시빌 워: 분열의 시대,2024-12-31,8095,48684,82693800
20250102,9,모아나 2,2024-11-27,7061,3415131,64737260
20250102,10,위키드,2024-11-20,6632,2086322,64480080
20250103,1,하얼빈,2024-12-24,91398,3279980,869700750
20250103,2,소방관,2024-12-04,26722,3449428,256082380
20250103,3,보고타: 마지막 기회의 땅,2024-12-31,21203,240601,198105460
20250103,4,뽀로로 극장판 바닷속 대모험,2025-01-01,17142,127836,145127220
20250103,5,수퍼 소닉3,2025-01-01,11144,120135,104172900
20250103,6,무파사: 라이온 킹,2024-12-18,8896,715958,80004860
20250103,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,8568,613048,81609720
20250103,8,시빌 워: 분열의 시대,2024-12-31,8242,56926,86698500
20250103,9,모아나 2,2024-11-27,7494,3422625,70988920
20250103,10,위키드,2024-11-20,7486,2093808,74829940
20250104,1,하얼빈,2024-12-24,218542,3498522,2140702910
20250104,2,소방관,2024-12-04,55117,3504545,529248680
20250104,3,보고타: 마지막 기회의 땅,2024-12-31,45091,285692,431379240
20250104,4,수퍼 소닉3,2025-01-01,42122,162257,386163580
20250104,5,뽀로로 극장판 바닷속 대모험,2025-01-01,34876,162712,299126140
20250104,6,무파사: 라이온 킹,2024-12-18,21325,737283,201034480
20250104,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,18193,631241,172179500
20250104,8,모아나 2,2024-11-27,16392,3439017,158530460
20250104,9,위키드,2024-11-20,14771,2108579,150394230
20250104,10,시빌 워: 분열의 시대,2024-12-31,13723,70649,144598400
20250105,1,하얼빈,2024-12-24,174400,3672922,1698746070
20250105,2,소방관,2024-12-04,47406,3551951,460626940
20250105,3,보고타: 마지막 기회의 땅,2024-12-31,36860,322552,356269140
20250105,4,수퍼 소닉3,2025-01-01,36677,198934,335096180
20250105,5,뽀로로 극장판 바닷속 대모험,2025-01-01,31687,194399,270555320
20250105,6,무파사: 라이온 킹,2024-12-18,19696,756979,185978880
