"대여일자","대여건수"
"20250701","132914"
"20250702","151653"
"20250703","151092"
"20250704","151367"
"20250705","118354"
"20250706","106785"
"20250707","146664"
"20250708","115371"
"20250709","136307"
"20250710","139733"
"20250711","144182"
"20250712","109930"
"20250713","90890"
"20250714","67424"
"20250715","109499"
"20250716","51408"
"20250717","30839"
"20250718","83542"
"20250719","37126"
"20250720","90404"
"20250721","140600"
"20250722","143956"
"20250723","144388"
"20250724","138906"
"20250725","130673"
"20250726","92788"
"20250727","79637"
"20250728","119821"
"20250729","122990"
"20250730","126211"
"20250731","130749"
"20250801","125617"
"20250802","96593"
"20250803","71584"
"20250804","121343"
"20250805","138016"
"20250806","85551"
"20250807","138009"
"20250808","141953"
"20250809","101048"
"20250810","106669"
"20250811","148097"
"20250812","148462"
"20250813","26358"
"20250814","80292"
"20250815","91508"
"20250816","108989"
"20250817","104200"
"20250818","108972"
"20250819","140133"
"20250820","142193"
"20250821","141946"
"20250822","141081"
"20250823","114416"
"20250824","98956"
"20250825","112103"
"20250826","119257"
"20250827","148795"
"20250828","148655"
"20250829","110681"
"20250830","94645"
"20250831","103141"
"20250901","89505"
"20250902","154043"
"20250903","155137"
"20250904","99885"
"20250905","152734"
"20250906","57076"
"20250907","116306"
"20250908","152244"
"20250909","165312"
"20250910","165850"
"20250911","166213"
"20250912","106264"
"20250913","113756"
"20250914","134624"
"20250915","165350"
"20250916","107807"
"20250917","84085"
"20250918","168436"
"20250919","62549"
"20250920","112491"
"20250921","146261"
"20250922","169403"
"20250923","173588"
"20250924","69988"
"20250925","157348"
"20250926","176011"
"20250927","153156"
"20250928","77626"
"20250929","168321"
"20250930","170957"
"20251001","169645"
"20251002","175022"
"20251003","89958"
"20251004","113200"
"20251005","53623"
"20251006","10493"
"20251007","26673"
"20251008","126692"
"20251009","113032"
"20251010","13940"
"20251011","55778"
"20251012","108470"
"20251013","28942"
"20251014","130815"
"20251015","119889"
"20251016","152150"
"20251017","112547"
"20251018","99434"
"20251019","116010"
"20251020","131385"
"20251021","134711"
"20251022","145056"
"20251023","151468"
"20251024","154755"
"20251025","124943"
"20251026","82073"
"20251027","120002"
"20251028","127464"
"20251029","137701"
"20251030","140130"
"20251031","141810"
"20251101","94091"
"20251102","78414"
"20251103","117516"
"20251104","131256"
"20251105","137251"
"20251106","138407"
"20251107","141347"
"20251108","109657"
"20251109","96347"
"20251110","119502"
"20251111","128967"
"20251112","134782"
"20251113","130930"
"20251114","126747"
"20251115","100269"
"20251116","86123"
"20251117","94203"
"20251118","96573"
"20251119","103028"
"20251120","111933"
"20251121","112825"
"20251122","90719"
"20251123","80050"
"20251124","118619"
"20251125","72262"
"20251126","113314"
"20251127","66249"
"20251128","99553"
"20251129","75841"
"20251130","80210"
"20251201","101503"
"20251202","85750"
"20251203","68177"
"20251204","56810"
"20251205","35922"
"20251206","40497"
"20251207","56846"
"20251208","85128"
"20251209","90398"
"20251210","95044"
"20251211","71947"
"20251212","86954"
"20251213","19152"
"20251214","43137"
"20251215","80406"
"20251216","48596"
"20251217","84961"
"20251218","87558"
"20251219","91584"
"20251220","46467"
"20251221","45074"
"20251222","76799"
"20251223","38688"
"20251224","73411"
"20251225","32281"
"20251226","45681"
"20251227","42381"
"20251228","40774"
"20251229","66652"
"20251230","71026"
"20251231","55570"
