"대여일자","대여건수"
"2025-01-01","48645"
"2025-01-02","77718"
"2025-01-03","77053"
"2025-01-04","56597"
"2025-01-05","19712"
"2025-01-06","62525"
"2025-01-07","68411"
"2025-01-08","66720"
"2025-01-09","47971"
"2025-01-10","54569"
"2025-01-11","42552"
"2025-01-12","38308"
"2025-01-13","50945"
"2025-01-14","61057"
"2025-01-15","64305"
"2025-01-16","68299"
"2025-01-17","73521"
"2025-01-18","56933"
"2025-01-19","51398"
"2025-01-20","76911"
"2025-01-21","76568"
"2025-01-22","80528"
"2025-01-23","81308"
"2025-01-24","85272"
"2025-01-25","63695"
"2025-01-26","49384"
"2025-01-27","16746"
"2025-01-28","15070"
"2025-01-29","16398"
"2025-01-30","28784"
"2025-01-31","26433"
"2025-02-01","42902"
"2025-02-02","47226"
"2025-02-03","58107"
"2025-02-04","49334"
"2025-02-05","50837"
"2025-02-06","37910"
"2025-02-07","25539"
"2025-02-08","29054"
"2025-02-09","30725"
"2025-02-10","59309"
"2025-02-11","70893"
"2025-02-12","35468"
"2025-02-13","68750"
"2025-02-14","79247"
"2025-02-15","60415"
"2025-02-16","53214"
"2025-02-17","68698"
"2025-02-18","66571"
"2025-02-19","65350"
"2025-02-20","65458"
"2025-02-21","66490"
"2025-02-22","49412"
"2025-02-23","37830"
"2025-02-24","68743"
"2025-02-25","75271"
"2025-02-26","81379"
"2025-02-27","91203"
"2025-02-28","94205"
"2025-03-01","58921"
"2025-03-02","32851"
"2025-03-03","45445"
"2025-03-04","52217"
"2025-03-05","89885"
"2025-03-06","95225"
"2025-03-07","98680"
"2025-03-08","81479"
"2025-03-09","80200"
"2025-03-10","103848"
"2025-03-11","111514"
"2025-03-12","99722"
"2025-03-13","110368"
"2025-03-14","125131"
"2025-03-15","109746"
"2025-03-16","50204"
"2025-03-17","90119"
"2025-03-18","59001"
"2025-03-19","93999"
"2025-03-20","109736"
"2025-03-21","120515"
"2025-03-22","115085"
"2025-03-23","115859"
"2025-03-24","127283"
"2025-03-25","115458"
"2025-03-26","134702"
"2025-03-27","101747"
"2025-03-28","112105"
"2025-03-29","63571"
"2025-03-30","57013"
"2025-03-31","115322"
"2025-04-01","128602"
"2025-04-02","113275"
"2025-04-03","127764"
"2025-04-04","130775"
"2025-04-05","17053"
"2025-04-06","104882"
"2025-04-07","139291"
"2025-04-08","147589"
"2025-04-09","124370"
"2025-04-10","149696"
"2025-04-11","167346"
"2025-04-12","53027"
"2025-04-13","41925"
"2025-04-14","41890"
"2025-04-15","124290"
"2025-04-16","148388"
"2025-04-17","152477"
"2025-04-18","154989"
"2025-04-19","41988"
"2025-04-20","136746"
"2025-04-21","158268"
"2025-04-22","45308"
"2025-04-23","158602"
"2025-04-24","150526"
"2025-04-25","148020"
"2025-04-26","133576"
"2025-04-27","116047"
"2025-04-28","151260"
"2025-04-29","157192"
"2025-04-30","165638"
"2025-05-01","53549"
"2025-05-02","144934"
"2025-05-03","62747"
"2025-05-04","111340"
"2025-05-05","88946"
"2025-05-06","121892"
"2025-05-07","153651"
"2025-05-08","160259"
"2025-05-09","24264"
"2025-05-10","27824"
"2025-05-11","118904"
"2025-05-12","157205"
"2025-05-13","162773"
"2025-05-14","165179"
"2025-05-15","113326"
"2025-05-16","40766"
"2025-05-17","88198"
"2025-05-18","134944"
"2025-05-19","118348"
"2025-05-20","144466"
"2025-05-21","157494"
"2025-05-22","149235"
"2025-05-23","137430"
"2025-05-24","113917"
"2025-05-25","137711"
"2025-05-26","160646"
"2025-05-27","163261"
"2025-05-28","162829"
"2025-05-29","164645"
"2025-05-30","173915"
"2025-05-31","144790"
"2025-06-01","130285"
"2025-06-02","148775"
"2025-06-03","154911"
"2025-06-04","167578"
"2025-06-05","172651"
"2025-06-06","137915"
"2025-06-07","135698"
"2025-06-08","122268"
"2025-06-09","161721"
"2025-06-10","169011"
"2025-06-11","168455"
"2025-06-12","164824"
"2025-06-13","115907"
"2025-06-14","131389"
"2025-06-15","88162"
"2025-06-16","111005"
"2025-06-17","164922"
"2025-06-18","165124"
"2025-06-19","156770"
"2025-06-20","13179"
"2025-06-21","108852"
"2025-06-22","124126"
"2025-06-23","159484"
"2025-06-24","136677"
"2025-06-25","51323"
"2025-06-26","146464"
"2025-06-27","154649"
"2025-06-28","100481"
"2025-06-29","111430"
"2025-06-30","150279"
