"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260501","5호선","방이","5527","5357","20260504",""
"20260501","5호선","둔촌동","10441","9979","20260504",""
"20260501","5호선","상일동","10541","9932","20260504",""
"20260501","5호선","고덕","7456","7257","20260504",""
"20260501","5호선","명일","6377","6251","20260504",""
"20260501","5호선","굽은다리(강동구민회관앞)","8230","7693","20260504",""
"20260501","5호선","길동","7758","7877","20260504",""
"20260501","5호선","강동","12793","12006","20260504",""
"20260501","5호선","천호(풍납토성)","21161","19991","20260504",""
"20260501","5호선","광나루(장신대)","9256","8944","20260504",""
"20260501","5호선","아차산(어린이대공원후문)","16734","16089","20260504",""
"20260501","5호선","군자(능동)","10612","11973","20260504",""
"20260501","5호선","장한평","13834","13296","20260504",""
"20260501","5호선","답십리","11875","10250","20260504",""
"20260501","5호선","마장","4604","4335","20260504",""
"20260501","5호선","왕십리(성동구청)","3952","4862","20260504",""
"20260501","5호선","행당","5747","4833","20260504",""
"20260501","5호선","신금호","4698","4936","20260504",""
"20260501","5호선","청구","2525","2513","20260504",""
"20260501","5호선","동대문역사문화공원(DDP)","1774","2138","20260504",""
"20260501","5호선","을지로4가","6115","6083","20260504",""
"20260501","5호선","종로3가","21453","23954","20260504",""
"20260501","5호선","광화문(세종문화회관)","28613","29789","20260504",""
"20260501","5호선","서대문","8393","8069","20260504",""
"20260501","5호선","충정로(경기대입구)","2601","2290","20260504",""
"20260501","5호선","애오개","4367","4057","20260504",""
"20260501","5호선","공덕","8499","8650","20260504",""
"20260501","5호선","마포","9191","8773","20260504",""
"20260501","5호선","여의나루","35836","37286","20260504",""
"20260501","5호선","여의도","15789","17847","20260504",""
"20260501","5호선","신길","4134","4138","20260504",""
"20260501","5호선","영등포시장","9850","9951","20260504",""
"20260501","5호선","영등포구청","2929","2837","20260504",""
"20260501","5호선","양평","4572","4086","20260504",""
"20260501","5호선","오목교(목동운동장앞)","16244","16768","20260504",""
"20260501","5호선","목동","12213","12031","20260504",""
"20260501","5호선","신정(은행정)","10082","8380","20260504",""
"20260501","5호선","까치산","23062","21417","20260504",""
"20260501","5호선","화곡","22524","20613","20260504",""
"20260501","5호선","우장산","11908","11442","20260504",""
"20260501","5호선","발산","15401","16515","20260504",""
"20260501","5호선","마곡","10590","10504","20260504",""
"20260501","5호선","송정","5286","5143","20260504",""
"20260501","5호선","김포공항","14175","8806","20260504",""
"20260501","5호선","개화산","4627","4343","20260504",""
"20260501","5호선","방화","5718","5358","20260504",""
"20260501","4호선","남태령","1225","715","20260504",""
"20260501","4호선","사당","24345","21768","20260504",""
